question	choice_A	choice_B	choice_C	choice_D	answer
热量收入最多的为10°-20°之间该图是北半球海洋热量收支分布曲线图。读图回答24～25题。关于海洋热量收入与支出的叙述，正确的是	热量净收入从低纬度海区到高纬度海区逐渐减少	各纬度海区的辐射热量收支基本平衡	赤道海区热量收入最多，极地海区热量支出最多	海洋热量的主要收入是太阳辐射，主要支出是海水蒸发耗热	D
热量收入最多的为10°-20°之间该图是北半球海洋热量收支分布曲线图。读图回答24～25题。有关海洋表层温度的叙述，正确的是	暖流流经海区的水温均高于寒流流经海区	洋流可减小高、低纬度海区之间的水温差异	热量辐射是各纬度海区之间热量交换的主要方式	水温的年变化幅度近岸海区小于同纬度大洋中部	B
4时-19时太阳辐射大于0。11：30太阳辐射较低。下图表示我国某地某日到达地面的太阳辐射日变化状况。读图回答下列问题。该日日期及天气状况可能是	3月12日晴朗	5月5日晴朗	9月23日多云	5月20日多云	D
4时-19时太阳辐射大于0。11：30太阳辐射较低。下图表示我国某地某日到达地面的太阳辐射日变化状况。读图回答下列问题。该地可能位于	塔里木盆地	四川盆地	东北平原	珠江三角洲	C
甲河流量最大，流量最大的月份为6月。乙河流量较小，1月和2月流量为0。丙河流量较大,且有两次汛期,最可能分布在东北地区。右表为我国三个地区甲、乙、丙三河各月流量资料（立方米/秒）。据此回答问题。甲、乙、丙三条河流所在地区依次为（ ）	西北、东北、南部沿海地区	东北、华北、西北地区	南部沿海、西北、东北地区	南部沿海、东北、西北地区	C
乙河1月和2月流量为0。右表为我国三个地区甲、乙、丙三河各月流量资料（立方米/秒）。据此回答问题。乙河1、2月份断流的主要原因是（ ）	降水少，导致径流量小	气温高，蒸发强	气温低，冰川难以融化	东南季风难以到达	C
城市化水平不断提高。工业化水平则是先升后降。图为某国工业化、城市化进程比较图，回答下列问题。关于该国工业化、城市化进程特点的叙述，正确的是( )	城市化与工业化呈同步增长趋势	阶段Ⅰ城市化进程速度比阶段Ⅱ快	在此国城市化进程中工业化都是主要动力	城市化速度一直快于工业化速度	D
城市化水平不断提高。工业化水平则是先升后降。图为某国工业化、城市化进程比较图，回答下列问题。在阶段Ⅲ，该国新增就业机会主要来自( )	技术指向型产业	劳动力指向型产业	动力指向型产业	现代服务业	D
第一产业就业比重减小，第二产业就业人数增加，但增幅不大，第三产业就业比重增幅较大。下图是我国中部某省三次产业就业比重变化图。读图，回答下题。下列有关该省经济发展的叙述，正确的是()。	随着区域产业结构调整，三次产业就业比重均明显增大	随着城镇化速度加快，第三产业就业比重增幅较大	由于农民工向沿海地区流动，第一产业就业比重迅速减小	随着东部地区产业转移，该省第二产业就业人口迅速增加	B
第三产业就业比重上升最快。下图是我国中部某省三次产业就业比重变化图。读图，回答下题。为推动该省经济发展，提高就业水平，应积极发展()。	现代服务业	劳动力导向型工业	技术导向型工业	动力导向型工业	A
曲线c的0-20岁人口比重小于a，40-60岁人口比重大于a。读某地区人口年龄结构示意图，图中a、b、c分别表示1930年、1970年、20年的人口年龄结构状况。回答1～2题。从图中反映出人口变化趋势的一个突出特征是（）	年轻劳动力过剩	自然增长率上升	人口老龄化显著	人口出生率较高	C
A、B地最低气温在0℃以上，降水量较大。下表AB两地终年盛行西风且纬度相当，分析两地的气候资料，完成下列问题。根据表中资料推断A地的典型植被类型是	温带荒漠	亚寒带针叶林	温带落叶阔叶林	温带草原	C
A地最低气温在0℃以上，降水量较大，A地降水量夏季多下表AB两地终年盛行西风且纬度相当，分析两地的气候资料，完成下列问题。在A地最适宜发展的农业地域类型是	旱作农业	灌溉农业	季风水田农业	乳畜业	D
甲大于丙。甲和丙都逐年下降，乙整体上变化不大。图表示近20年来我国人口的变化情况。读图完成题。甲、乙、丙分别表示	出生率死亡率自然增长率	死亡率自然增长率出生率	死亡率出生率自然增长率	出生率自然增长率死亡率	D
甲大于丙。甲和丙都逐年下降，乙整体上变化不大。图表示近20年来我国人口的变化情况。读图完成题。有关我国现阶段人口的叙述，正确的是	人口增长模式为传统型	老龄化现象日趋明显	劳动力短缺	大量人口向西部地区迁移	B
货车和公共汽车速度在35km/h时NOx排放系数最低。读“车速与NOx排放量关系”示意图，回答下列小题。为减少城市大气污染物NOx的排放量，市区最低车速必须保持在（）	30千米／小时	35千米／小时	40千米／小时	45千米／小时	B
货车和公共汽车速度在35km/h时NOx排放系数最低。读“车速与NOx排放量关系”示意图，回答下列小题。关于大气污染物NO	属于气溶胶状态的污染物	能引发温室效应	产生酸雨危害	影响气候，降低能见度	C
工业产品的学历水平整体上先增加后减小。工业产品的“学历"水平是指生产工业产品的工人平均学历水平，是在对学历的5个等级(初中及以下、高中、大专、本科、研究生及以上)分别赋以1、3、5、7、9后统计而得。下图示意我国工业产品“学历”水平的变化，读图完成下列各题。据图可以推断，我国具有优势的产业是	技术密集型	劳动密集型	资金密集型	资源密集型	B
2000-2006年，工业产品的学历水平逐年下降。工业产品的“学历"水平是指生产工业产品的工人平均学历水平，是在对学历的5个等级(初中及以下、高中、大专、本科、研究生及以上)分别赋以1、3、5、7、9后统计而得。下图示意我国工业产品“学历”水平的变化，读图完成下列各题。2000年后，“学历’’水平变化的主要原因是	教育水平的提高	产业的升级	农村劳动力的转移	逆城市化的出现	C
山东省2010面积累计百分比大于山东省1982面积累计百分比大于山东省1953年面积累计百分比。下图为山东省1953～2010年面积—人口洛伦兹曲线，图中曲线越接近绝对均衡线说明人口分布越均衡。据此回答以下问题。山东省1953年以来，人口分布状况是	趋于均衡	极度集中	不均衡趋势加强	60%土地集中80%人口	C
山东省2010面积累计百分比大于山东省1982面积累计百分比大于山东省1953年面积累计百分比。下图为山东省1953～2010年面积—人口洛伦兹曲线，图中曲线越接近绝对均衡线说明人口分布越均衡。据此回答以下问题。引起山东省1953年以来人口分布变化的主要因素	环境	气候	资源	经济	D
丁城市人口比重前期较小，后期增长迅速下图中四条折线示意中国、全世界、发展中国家和发达国家的城市化水平及其变化趋势。读图完成问题。图中代表中国城市进程的折线是（）	甲	乙	丙	丁	D
2000-2025年，丁增长最快。下图中四条折线示意中国、全世界、发展中国家和发达国家的城市化水平及其变化趋势。读图完成问题。2000年后，发达国家城市化水平提高带来的主要影响是（）	促进区域经济发展	工业产值的比重持续增大	城市环境趋于恶化	城市中心区人口不断增多	A
城市人口比重增长的速度最快，三大产业中第三产业产值比重增长速度最快，并于1990年超过第一产业；城市人口比重增幅最快是在20世纪90年代末。下图为江苏省三大产业产值比重与城市人口比重的变化图。读图，回答题。图示曲线反映了（）	第二产业产值比重增长的速度最快	20世纪90年代末城市化速度最快	1990年第三产业产值比重未超过第一产业	城市人口增长与第二产业发展同步	B
根据图示信息,全球到达大气上界太阳辐射分布的突出特点赤道及其附近曲线数值较大,两极偏小,基本规律为由低纬地区向高纬地区递减,选D读“北半球到达大气上界太阳辐射随纬度变化的分布图”完成下列问题。全球到达大气上界太阳辐射分布的突出特点是（ ）	由南向北递减	由北向南递减	由高纬地区向低纬地区递减	由低纬地区向高纬地区递减	D
第一产业的产业贡献率几乎为零。第三产业对GDP的贡献率最大。产业贡献率指各产业增加值增量与GDP增量之比，下图是北京市的2001～2012年三次产业贡献率统计图。完成下题。下列有关北京市三次产业的说法正确的是	第一产业对北京市GDP没有贡献	第二产业发展波动较大	第三产业对北京市GDP拉动明显	第一产业产值保持稳定	C
无覆盖条件下月蒸发量大于有覆盖条件下月蒸发量。采用物理覆盖技术来抑制平原水库的无效蒸发，可节约更多的水资源。下图为我国某地常年有水的水库观测数据，其中12月至次年3月时间段蒸发量极小，观测困难。据此完成下面小题。我国最需要推广该物理覆盖技术的地区是（ ）	东北平原	华北平原	长江三角洲	珠江三角洲	B
12月至次年3月时间段蒸发量极小采用物理覆盖技术来抑制平原水库的无效蒸发，可节约更多的水资源。下图为我国某地常年有水的水库观测数据，其中12月至次年3月时间段蒸发量极小，观测困难。据此完成下面小题。12月至次年3月时间段蒸发量极小的原因可能是（ ）	水面结冰	风速增大	水质变差	水库干涸	A
覆盖后月蒸发量减小。采用物理覆盖技术来抑制平原水库的无效蒸发，可节约更多的水资源。下图为我国某地常年有水的水库观测数据，其中12月至次年3月时间段蒸发量极小，观测困难。据此完成下面小题。采用物理覆盖技术后，水库对周围环境的影响正确的是	降低库区大气湿度	减轻库区土壤盐渍化	增强地面辐射强度	促进浮游植物的生长	A
全球气温总体呈上升趋势读全球气温变化图．完成下列各题。该图反映的地理现象是	保温作用	大气污染	热岛效应	全球气候变暖	D
全球气温总体呈上升趋势读全球气温变化图．完成下列各题。该图反映的现象直接导致的后果是	全球海平面将下降	农作物分布范围发生变化	对人类健康不会产生任何影响	干旱、暴雨、洪涝等灾害减少	B
当纬度为27°时，春雨取得最大值。该图表示沿115°E经线春雨占全年降水的比重，读图回答问题。下列地区春雨比例最大的是（）	珠江三角洲	黄淮平原	鄱阳湖平原	江淮平原	C
天气情况为霾时，能见度为差下表为北京市2015年11月天气状况表，完成下列各题。 注：霾是指大气中大量烟、尘等微粒悬浮而形成的浑浊现象。霾日时，能见度变差，主要是因为（ ）	霾增强了大气逆辐射	霾吸收了太阳辐射	霾增强了大气散射	霾反射了太阳辐射	D
夏季6—9月份降水量增加较少。冬季11—次年2月份，降水量增加较多下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。该地冬季主要受	东北信风的影响	东南信风的影响	西风的影响	极地东风的影响	C
夏季6—9月份降水量增加较少。冬季11—次年2月份，降水量增加较多下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。利用典型的农产品，该地可发展的工业是	甘蔗制糖	蚕丝纺织	甜菜加工	葡萄酿酒	D
该市出生率为8.4‰，死亡率5.1‰。读四川省遂宁市2015年人口普查数据表，回答下面小题。只考虑人口自然增长，该市的人口增长模式是（ ）	原始型	传统型	现代型	过渡型	C
该省常住人口329万人，≥65岁人口有37万人，≥65岁人口比重超过10%。读四川省遂宁市2015年人口普查数据表，回答下面小题。表中数据能反映的该市人口问题是（ ）	性别结构严重失调	人口老龄化	就业压力大	劳动力成本低	B
甲的最大值出现在2035年左右。乙的最大值出现在2015年左右。丙的最大值出现在2010年左右。丁的最大值出现在1990年左右。人口红利是指一个国家的劳动年龄人口占总人口比重较大，抚养率比较低，为经济发展创造了有利的人口条件，人口红利拐点显现往往是人口红利消失的前兆，2012年我国劳动年龄人口在相当长时期里第一次出现了绝对下降。下图为亚洲四个国家不同时期劳动年龄人口占总人口比重示意图。结合材料完成下列各题。图中甲乙丙丁所代表的国家分别是（ ）	日本 越南 中国 印度	印度 越南 中国 日本	印度 越南 日本 中国	中国 印度 越南 日本	B
丙曲线劳动力人口比重超过66.6%持续时间是从1990年到2030年,人口红利是指一个国家的劳动年龄人口占总人口比重较大，抚养率比较低，为经济发展创造了有利的人口条件，人口红利拐点显现往往是人口红利消失的前兆，2012年我国劳动年龄人口在相当长时期里第一次出现了绝对下降。下图为亚洲四个国家不同时期劳动年龄人口占总人口比重示意图。结合材料完成下列各题。为了便于分析，人们认为总抚养比(14岁及以下少儿人口与65岁及以上老年人口之和除以15岁~64岁劳动年龄人口)小于50%的时期为人口红利期。据上图分析我国人口红利期能够持续的时间为（ ）	20多年	30多年	40多年	60多年	C
口红利拐点出现以后说明我国劳动年龄人口在出现了绝对下降,人口红利是指一个国家的劳动年龄人口占总人口比重较大，抚养率比较低，为经济发展创造了有利的人口条件，人口红利拐点显现往往是人口红利消失的前兆，2012年我国劳动年龄人口在相当长时期里第一次出现了绝对下降。下图为亚洲四个国家不同时期劳动年龄人口占总人口比重示意图。结合材料完成下列各题。人口红利拐点出现以后，对我国社会经济带来的影响叙述错误的是（ ）	大幅提高人口自然增长率，增加劳动力数量	人口老龄化问题愈加严重	加速劳动力密集型企业向人工成本较低地区转移	加快传统产业的转型升级	A
火星与日距离大于地球美国新型火星探测飞船——“火星勘测轨道飞行器”于美国东部时间2005年8月12日7时43分（西五区区时）从肯尼迪航天中心发射升空。美宇航局下属的喷气推进实验室说，这艘飞船将探测火星上生命线索，并为未来的火星登陆寻找合适的地点。阅读下表，完成下面小题。火星表面的平均温度值比地球小，最主要的原因是（ ）	距太阳远	质量小	体积小	公转周期长	A
金星自转周期大于其它行星，为243天。美国新型火星探测飞船——“火星勘测轨道飞行器”于美国东部时间2005年8月12日7时43分（西五区区时）从肯尼迪航天中心发射升空。美宇航局下属的喷气推进实验室说，这艘飞船将探测火星上生命线索，并为未来的火星登陆寻找合适的地点。阅读下表，完成下面小题。在表上的四颗行星上，能体会“度日如年”的是（ ）	水星	金星	地球	火星	B
人口城市化率在2003年速率最大；图中折线呈现出先波动上升后波动下降的趋势。人口城市化速率和土地城市化速率都大于0。人口城市化指的是人口向城市地区集中或农业人口变为非农业人口的过程；土地城市化是指某一区域城市化过程中土地条件由农村形态向城市形态转化的过程，这一过程即城市建设用地的空间扩张。下图为1994－2008年中国地级以上城市土地与人口城市化速率图，读下图，完成下列各题。1994～2008年我国地级以上城市土地与人口城市化速率（ ）	都在2002年速率达到最大	呈现波动上升趋势	都先持续上升，后持续下降	呈现出先增后减趋势	D
人口城市化率在2003年速率最大；图中折线呈现出先波动上升后波动下降的趋势；图中两类数据一直大于0人口城市化指的是人口向城市地区集中或农业人口变为非农业人口的过程；土地城市化是指某一区域城市化过程中土地条件由农村形态向城市形态转化的过程，这一过程即城市建设用地的空间扩张。下图为1994－2008年中国地级以上城市土地与人口城市化速率图，读下图，完成下列各题。根据材料信息推断的结论，正确的是：1993～2008年我国地级以上城市（ ）	农业人口比重大体上先增加后减少	建成区土地规模大体上先增加后减少	建成区非农人口密度不断下降	第三产业加速发展，占据主导	C
5-9月增长较慢，9-12月增长较快下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。该地水循环最活跃的季节是	春季	夏季	秋季	冬季	D
5-9月增长较慢，9-12月增长较快下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。利用该地的典型农产品，可发展的工业是	棉花纺织	甘蔗制糖	葡萄酿造	大豆加工	C
该地1月-3月和9-12月辐射差额小于0。4月-8月辐射差额大于0。地﹣气系统（大气和地面）吸收太阳短波辐射（能量收入），又向外发射长波辐射（能量支出），能量收支的差值，称为辐射差额．下图示意沿海某地多年平均辐射差额的月份分配．读图结合材料完成下题．地﹣气系统内存在着能量传递与转换，传递与转换形式多样，其中能促使温室效应增强的大气过程是大气（ ）	对太阳辐射的散射增强	射向地面的辐射增强	对太阳辐射的吸收增强	射向宇宙空间的辐射增强	B
②1995——2000增长最快下图为“江苏省三大产业产值比重与城市人口比重的变化图”。读图同答5～6题。图中曲线反映了	第二产业产值比重增长的速度最快	20世纪80年代末城市化速度最快	1990年第三产业产值比重超过第一产业	城市人口增长与第二产业发展同步	C
在8点左右和18点左右颗粒物浓度较大。PM2.5是指大气中直径小于或等于2.5微米的颗粒物。近年来华北地区冬半年雾霾天 气多发，PM2.5浓度增加是重要的原因之一。读“北京市某日PM2.5浓度变化图”，完成下列问题。导致该地PM2.5浓度变化的首要污染源是 	生活燃煤排出的烟尘	道路及建筑工地的扬尘	工矿企业排放的烟气	机动车辆排放的尾气	D
2009—2010年建建筑物增长率虽然下降,但依然大于0；图示时间段内,建成区的增长率均为正值城市建城区内的建筑物数量与建成区面积要随城市规划的变化而进行调整，下图为某大城市在城郊规划的一居住小区近7年来的区内建筑物数量与建成区面积增长率的动态变化图。读图回答下列各题。图中信息表明该居住小区（ ）	2009—2010年建成区面积和建筑物数量均下降	2010—2012年建筑物数量在不断增长	2012—2013年建筑物数量增长而建成区面积下降	2012—2014年建成区面积呈下降趋势	B
2009—2010年建建筑物增长率虽然下降,但依然大于0；图示时间段内,建成区的增长率均为正值城市建城区内的建筑物数量与建成区面积要随城市规划的变化而进行调整，下图为某大城市在城郊规划的一居住小区近7年来的区内建筑物数量与建成区面积增长率的动态变化图。读图回答下列各题。据图分析可知，该小区建筑物数量的变化对区域的影响是（ ）	增大了建筑物的高度	提升了该小区的环境质量	提高了城市的土地利用率	造成建成区面积的无序扩张	C
a在8时-12时车速较小，14-22时车速较大。b在2时-12时车速较大，16-20时车速较小读图“某特大城市某干道市区郊区双向车速变化曲线图”，完成问题。集合各监测站的车流信息，合理规划城市道路，最好利用	遥感技术	卫星导航系统	全球定位系统	地理信息系统	D
a在8时-12时车速较小，14-22时车速较大。b在2时-12时车速较大，16-20时车速较小读图“某特大城市某干道市区郊区双向车速变化曲线图”，完成问题。解决城市交通拥堵问题的最根本的措施是	在中心城区外围大力建设以居住为主的卫星城	大力发展轨道交通，建设环行—放射式道路网	在中心城区外围建设集生产、居住和服务功能为一体的城市新区	严格控制私家车数量增长，实行限行措施	C
1960年-1970年，b的值大于0。a的值小于0。季风指数是季风现象明显程度的量值，其大小反映一个地区季风环流的强弱程度。下图示意我国东部地区1880~2000年的夏季风指数（a）和冬季风指数（b）距平（距平是某一系列指数值中的每一个数值与平均值的差）值曲线。读图回答下列各题。1960~1970年期间，与多年平均状况相比（ ）	华北地区寒潮多发	东北地区河流春汛提前	天山雪线偏高	南方地区羽绒服滞销	A
人口城市化水平与综合城市化水平差距呈波动减小。综合城市化水平是从经济、产业结构、人口、生活方式、城镇基础设施水平等方面考虑的更能反映城市化内涵的一项综合指标。1978--2008年，北京市城镇人口增加了960．1万人，其中北京郊区乡村人口只占全市城镇人口增加数的l4．23％。下图示意北京市人口城市化水平和综合城市化水平趋势比较。据此完成下列各题。北京市城市化表现出的特点是（）	人口城市化与综合城市化速度基本同步发展	人口城市化水平与综合城市化水平差距持续减小	1989年后人口城市化速度急剧加快	人口城市化和综合城市化发展趋向协调	D
曲线起点海拔为260米左右。终点海报为150米左右甲、乙两地点之间有三条道路相连。某地理活动小组测绘了这三条道路的纵向剖面图。读图，回答下列问题。甲、乙两地点间高差大致为(　　)	80 m	110 m	170 m	220 m	B
P地北京时间12点太阳高度达到最大值；M地太阳高度在北京时间14点达到最大值读“6月某日，M．P两地的太阳高度角示意图”，完成下列问题。关于两地方向的判断，正确的是	M在Ｐ东南方向	M在Ｐ西北方向　　	M在Ｐ东北方向	M在Ｐ西南方向	D
P地在北京时间5时左右和19时左右太阳高度角为0。M地在北京时间9时左右和19时左右太阳高度角为0。P地北京时间12点太阳高度达到最大值；M地太阳高度在北京时间14点达到最大值读“6月某日，M．P两地的太阳高度角示意图”，完成下列问题。关于Ｍ、Ｐ两地特点的叙述，正确的是	该日的日落时刻相同　　	同在西半球、北半球	两地区时相同　　　	自转线速度和角速度都相同	A
读图该国2010年出生率约为12%。自然增长率2010-2013年变化较小,2013-2014年有所上升,2014-2015年下降,2015年后呈上升趋势某国2010年出生人口数为1574万，下图是该国2010-2016年人口出生率、自然增长率统计图。读图，完成下面小题。该国是（ ）	中国	美国	印度	俄罗斯	A
读图该国2010年出生率约为12%自然增长率2010-2013年变化较小,2013-2014年有所上升,2014-2015年下降,2015年后呈上升趋势某国2010年出生人口数为1574万，下图是该国2010-2016年人口出生率、自然增长率统计图。读图，完成下面小题。2015年以后影响该国人口数量变化的主要因素是（ ）	医疗进步	寿命延长	生育意愿	政策调整	D
该河流4月-5月和7月-8月径流量较大。下图为我国某河流某水文站多年平均径流量图。读图，回答下列各题。该河流可能位于我国（ ）	东北地区	华北地区	西北地区	西南地区	A
该河流4月-5月和7月-8月径流量较大。下图为我国某河流某水文站多年平均径流量图。读图，回答下列各题。该河流的补给水源主要为（ ）	雨水和冰川融水	雨水和季节性积雪融水	地下水	湖泊水	B
气温冬季小于0C夏季最高气温约15下图为我国某省（区）夏季与冬季气温日变化平均状况示意图，读图回答下列各题。该省（区）主要气候类型为（ ）	温带大陆性气候	高山高原气候	温带季风气候	亚热带季风气候	B
气温冬季小于0C夏季最高气温约15下图为我国某省（区）夏季与冬季气温日变化平均状况示意图，读图回答下列各题。与冬季相比，影响夏季气温日较差小的主要因素（ ）	地面状况	地形	正午太阳高度	天气状况	D
1980年-2000年，中国城市化水平增长最快。读中国、德国、日本和印度四国的城市化水平变化过程图，完成下面小题。1980—2000年城市化发展最快的国家是（ ）	德国	日本	中国	印度	C
建库前和建库后流量差别不大。下图为三峡水库建成前后宜昌水文站多年月平均径流量图，判断三峡水库建成后通过宜昌站的水文状况是	径流季节变化减小	径流年际变化加大	年平均径流量加大	河流含沙量增加	A
①的年变化最大。②的地表径流量大于③。我国某地区坡耕地面临严重的土地退化问题。下图示意该地采用不同农耕措施下的地表径流量变化。据此完成下列各题。图中农耕措施①②③依次表示（ ）	等高土埂、顺坡农作、等高草带	顺坡农作、等高草带、等高土埂	等高土埂、等高草带、顺坡农作	等高草带、等高土埂、顺坡农作	B
该地地表径流量季节差异较大。5月-6月地表径流量较大。我国某地区坡耕地面临严重的土地退化问题。下图示意该地采用不同农耕措施下的地表径流量变化。据此完成下列各题。该地位于（ ）	浙江省	贵州省	陕西省	河北省	A
丁地白昼时间大于12小时。下表中所列的是12月22日甲、乙、丙、丁四地的白昼时间，根据表中数据完成下列问题。四地中属于南半球的是（ ）	甲地	乙地	丙地	丁地	D
甲地白昼时长5小时30分。乙地白昼时长9小时09分。丙地白昼时长11小时25分。丁地白昼时长13小时56分。下表中所列的是12月22日甲、乙、丙、丁四地的白昼时间，根据表中数据完成下列问题。四地所处纬度按从高到低的顺序排列正确的是（ ）	甲、乙、丙、丁	甲、乙、丁、丙	丙、丁、乙、甲	丁、丙、乙、甲	B
①和②整体上下降。①的占比大于②。③和④的占比整体上上升。③的占比大于④。读下图，①、②、③、④四条曲线为发达国家、发展中国家的老年人和少年儿童的人口年龄系数曲线图，回答下列各题。发达国家和发展中国家老年人口系数超过少年儿童人口系数的时间依次是()	1998年和2045年	2020年和2045年	1998年和2020年	2030年和2045年	A
贵州城市化比重小于江苏。江苏和贵州城市化水平都在不断提高。下图为“贵州和江苏2007～2016年城镇人口比重变化图”。读图，完成下列各题。与江苏相比，贵州城市化进程的特点表现为（ ）	起步晚、水平低、目前速度慢	起步早、水平高、目前速度快	起步早、水平高、目前速度慢	起步晚、水平低、目前速度快	D
贵州城市化比重小于江苏。江苏和贵州城市化水平都在不断提高。下图为“贵州和江苏2007～2016年城镇人口比重变化图”。读图，完成下列各题。导致江苏、贵州两省城市化水平差异的主要因素是（ ）	经济因素	地域文化	地形地势	城市布局	A
中国人口负担系数在2010年左右达到最小值40%左右。读中国、日本和韩国人口负担系数百年比较下图[注：人口负担系数：（14岁及以下人口数＋65岁及以上人口数）／（15～64岁人口数）×100％]，回答下面小题。国际上一般把人口负担系数≤50％称为“人口机会窗口”期。据图，中国“人口机会窗口”达到顶点的时间为( )	1970年前后	1990年前后	2010年前后	2030年前后	C
日本的人口负担系数小于50%时期,大约从1965年到2000年,约35年读中国、日本和韩国人口负担系数百年比较下图[注：人口负担系数：（14岁及以下人口数＋65岁及以上人口数）／（15～64岁人口数）×100％]，回答下面小题。据图可知，日本“人口机会窗口”期约为( )	20年左右	35年左右	45年左右	60年左右	B
5-8月平均太阳总辐射最大下图为“我国长江三角洲南端某城市历年平均太阳总辐射逐月变化柱状图”，读图回答以下问题。如图所示，平均太阳总辐射最大的季节是（ ）	夏季	秋季	春季	冬季	A
辐射值最大的月份是7月下图为“我国长江三角洲南端某城市历年平均太阳总辐射逐月变化柱状图”，读图回答以下问题。该地正午太阳高度最大月份却不是平均太阳总辐射最大的月份，原因是（ ）	寒潮的影响	台风的影响	大气污染的影响	梅雨的影响	D
曲线③值为0的时间点早于6点，值大于0的总时间大于12小时下图为我国某城市某日内太阳辐射、地面辐射和气温变化示意图，读图完成下列各题。该地该日可能是	夏季的某日	午后经历雷阵雨	太阳从东南方向升起	昼长小于12小时	A
2015年之后,中国老年抚养比大幅度上升,印度老年抚养比增长速度慢于中国老年抚养比为65岁（含65岁）以上老年人口与15～64岁劳动人口之比，如图示意中国与印度历年老年抚养比变化情况（含预测）。据此完成问题。图中信息显示（ ）	2000年之后，中国与印度老年抚养比持续上升	2020年之后，中国与印度老年抚养比显著提高	2015年之后，中国老年抚养比大幅度上升	2010年之后，印度老年抚养比快速增长	C
印度老年抚养比低于中国老年抚养比为65岁（含65岁）以上老年人口与15～64岁劳动人口之比，如图示意中国与印度历年老年抚养比变化情况（含预测）。据此完成问题。印度老年抚养比低于中国的主要原因是（ ）	人口增长模式处于“高—低—高”型	人口健康状况改善，生育率大幅度提高	经济结构以传统农业为主，生产力低下	政府长期大力实施鼓励生育的政策	A
80°-100°叶面积指数较小下图为我国沿30°N线附近地区叶面积指数的空间变化。叶面积指数是指单位土地面积上植物叶片面积总和占土地面积的倍数。读图，回答下列问题。分界线S以西区域内叶面积指数偏低的最主要原因是该区域	降水稀少	地表崎岖	土壤贫瘠	海拔较高	D
110°-125°叶面积指数逐渐增大下图为我国沿30°N线附近地区叶面积指数的空间变化。叶面积指数是指单位土地面积上植物叶片面积总和占土地面积的倍数。读图，回答下列问题。分界线S以东区域内叶面积指数的空间变化体现了	由赤道向两极的地域分异	由沿海向内陆的地域分异	垂直地带性	非地带性	B
四个国家的城市化水平都在40%以下。读下图“亚洲四国家城市化趋势图”，回答下列各题。四国家城市化的共同特点是（ ）	起步晚，水平低	起步早，水平高	起步晚，水平高	起步早，水平低	A
马来西亚城市化水平在四个国家中最高。读下图“亚洲四国家城市化趋势图”，回答下列各题。与其他三个国家同期相比，马来西亚城市化（ ）	水平最低	水平最高	速度最快	速度最慢	B
该省人口数量总体呈下降趋势,四川相对经济发展水平较低,人口众多,人口外迁为主,特别是2010年重庆市分离,导致人口数量大幅度下降。海南省的开发,迁入人口较多,浙江和广东经济发达,人口以迁入为主。所以该省可能是四川下图为2005--2012我国某省常住人口数量变化图。据此回答下列问题。该省最可能是（ ）	海南	四川	广东	浙江	B
楚雄雨季是在5-10间，而楚雄10-次年5月，蒸发量大于降水量，其中蒸发最大是以3-4月。干旱是我国普遍存在的气象灾害。图A是我国某省区轮廓图，图B是楚雄常年逐月降水量与蒸发量对比图。读图回答下题。楚雄最严重的旱情多发生在	夏秋季节	春夏季节	冬春季节	秋冬季节	C
楚雄蒸发量最大季节出现在3-4月。干旱是我国普遍存在的气象灾害。图A是我国某省区轮廓图，图B是楚雄常年逐月降水量与蒸发量对比图。读图回答下题。导致图B中蒸发量最大季节出现在该时段的主要原因是	纬度低，气温高，降水少，海拔高，地表植被差	太阳辐射强，气温高，降水少日照多，风力较强	北方冷空气势力强，辐射弱，降水少，日较差大	喀斯特地貌分布广，易漏水，径流少，地表干燥	B
该地的棉花区位熵最大。稻谷区位熵最小。区位熵又称专门化率，其值越高，地区产业集聚水平就越高．一般来说，当区位熵大于1时，则该地区的某项经济指标在全国有优势；当区位熵小于1时，则处于劣势．如表为我国某地形区主要农产品产量的区位熵，据此完成下列各题．该地区的地形与气候类型可能是（ ）	东北平原 温带季风气候	华北平原 温带季风气候	四川盆地 亚热带季风气候	长江中下游平原 亚热带季风气候	B
该地的棉花区位熵最大。稻谷区位熵最小。区位熵又称专门化率，其值越高，地区产业集聚水平就越高．一般来说，当区位熵大于1时，则该地区的某项经济指标在全国有优势；当区位熵小于1时，则处于劣势．如表为我国某地形区主要农产品产量的区位熵，据此完成下列各题．与南疆相比，该地形区棉花生产的优势条件是（ ）	秋季少雨，有利于采摘	光照充足，昼夜温差大	交通便利，距离市场近	质量较好，市场需求多	C
霾的日数天津、河北冬季多于夏季。北京夏季多于冬季。北京冬季低于其他两省市。冬季三省市三曲线最接近差异最小。在风力较小、逆温、相对湿度较低的情况下，随着悬浮颗粒物的增多而导致大气能见度小于10千米的现象叫霾。下图为北京、天津、河北三省市各月霾日数变化图，读图完成下列各题。下列关于三省市霾的时空分布叙述正确的是	夏季多于冬季	冬季多于夏季	北京全年皆高于其他两省市	冬季三省市差异最小	D
